BU(CN),REPTagName,REPTrtyCode,REPKCode,YM,FamilyNameE,Actual,Target,A/T,flag,weight,奖金基数,备注,count,人均生产力,指标,指标值,低指标flag,AT系数,月均实际销售额,贡献率系数,达成贡献奖,曲线编号
CVRM,CV_C(B+C),,MR_C40016_V,202001,Brilinta,112435,174598,0.643965,FALSE,0.7,0,结构内起奖不通过0.552595<0.6,1,230000,0.1,0.629688,,,,,,
CVRM,CV_C(B+C),,MR_C40016_V,202001,Crestor,40648,102679,0.395875,FALSE,0.3,0,单产品起奖不通过,1,230000,0.1,0.370312,,,,,,
CVRM,CV_C(B+C),,MR_C40043_V,202001,Crestor,427517,313128,1.365311,,1,6600,,1,230000,0.1,0.990879,,1.775518,427517,1.85877,21781.83759,A4
CVRM,CV_C(B+C),,KCWS709,202001,Brilinta,246332,178259,1.381877,,0.7,6600,,1,230000,0.1,0.610512,,1.803128,448527,1.950117,16245.36006,A4
CVRM,CV_C(B+C),,KCWS709,202001,Crestor,202195,113724,1.777945,,0.3,6600,,1,230000,0.1,0.389488,,2,448527,1.950117,7722.46487,
CVRM,CV_C(B+C),,KSNX308,202001,Brilinta,149544,148958,1.003934,,0.7,6600,,1,230000,0.1,0.525735,,1.009835,362243,1.57497,7347.922292,A3
CVRM,CV_C(B+C),,KSNX308,202001,Crestor,212699,134375,1.582876,,0.3,6600,,1,230000,0.1,0.474265,,2,362243,1.57497,6236.879478,
CVRM,CV_C(B+C),,KJGB657,202001,Brilinta,136103,118316,1.150335,,0.7,6600,,1,230000,0.1,0.602595,,1.375837,215294,0.936061,5949.945251,A3
CVRM,CV_C(B+C),,KJGB657,202001,Crestor,79191,78028,1.014905,,0.3,6600,,1,230000,0.1,0.397405,,1.037262,215294,0.936061,1922.462423,A3
CVRM,CV_C(B+C),,KVXR420,202001,Brilinta,308988,305586,1.011133,,0.7,6600,,1,230000,0.1,0.59427,,1.027832,530106,2,9497.165577,A3
CVRM,CV_C(B+C),,KVXR420,202001,Crestor,221118,208635,1.059832,,0.3,6600,,1,230000,0.1,0.40573,,1.149579,530106,2,4552.33446,A3
CVRM,CV_C(B+C),,KQFF447,202001,Brilinta,190138,186914,1.017249,,0.7,6600,,1,230000,0.1,0.479343,,1.043121,424077,1.843813,8885.742598,A3
CVRM,CV_C(B+C),,KQFF447,202001,Crestor,233939,203024,1.152273,,0.3,6600,,1,230000,0.1,0.520657,,1.380682,424077,1.843813,5040.52309,A3
CVRM,CV_C(B+C),,KPMT492,202001,Brilinta,198312,106945,1.854336,,0.7,6600,,1,230000,0.1,0.357898,,2,321916,1.399635,12932.62539,
CVRM,CV_C(B+C),,KPMT492,202001,Crestor,123604,191869,0.64421,,0.3,6600,,1,230000,0.1,0.642102,,0.522105,321916,1.399635,1446.898026,A1
CVRM,CV_C(B+C),,KJWG203,202001,Brilinta,108419,108464,0.999585,,0.7,6600,,1,230000,0.1,0.616683,,0.99917,140603,0.7,3231.316529,A2
CVRM,CV_C(B+C),,KJWG203,202001,Crestor,32184,67419,0.477373,FALSE,0.3,0,单产品起奖不通过,1,230000,0.1,0.383317,,,140603,,,
CVRM,CV_C(B+C),,MR_C40402_V,202001,Brilinta,1011,136088,0.007429,FALSE,0.7,0,单产品起奖不通过,1,230000,0.1,0.603026,,,,,,
CVRM,CV_C(B+C),,MR_C40402_V,202001,Crestor,73440,89587,0.819762,FALSE,0.3,0,结构内起奖不通过0.329904<0.6,1,230000,0.1,0.396974,,,,,,
CVRM,CV_C(B+C),,KHBH842,202001,Brilinta,274995,202464,1.358241,,0.7,6600,,1,230000,0.1,0.693588,,1.763736,273686,1.189939,9696.170552,A4
CVRM,CV_C(B+C),,KHBH842,202001,Crestor,-1309,89444,-0.014635,FALSE,0.3,0,单产品起奖不通过,1,230000,0.1,0.306412,,,273686,,,
CVRM,CV_C(B+C),,KQJD476,202001,Brilinta,93465,84926,1.100546,,0.7,6600,,1,230000,0.1,0.313796,,1.251366,173738,0.755383,4367.101358,A3
CVRM,CV_C(B+C),,KQJD476,202001,Crestor,80273,185715,0.432238,FALSE,0.3,0,单产品起奖不通过,1,230000,0.1,0.686204,,,173738,,,
CVRM,CV_C(B+C),,KGQK202,202001,Brilinta,61479,90693,0.67788,,0.7,6600,,1,230000,0.1,0.34874,,0.53894,421346,1.831939,4561.351731,A1
CVRM,CV_C(B+C),,KGQK202,202001,Crestor,359867,169366,2.124789,,0.3,6600,,1,230000,0.1,0.65126,,2,421346,1.831939,7254.478957,
CVRM,CV_C(B+C),,KSHR329,202001,Brilinta,135420,117150,1.155954,,0.7,6600,,1,230000,0.1,0.533429,,1.389885,219630,0.954913,6131.752192,A3
CVRM,CV_C(B+C),,KSHR329,202001,Crestor,84210,102467,0.821826,,0.3,6600,,1,230000,0.1,0.466571,,0.643651,219630,0.954913,1216.969096,A2
CVRM,CV_C(B+C),,KVWJ036,202001,Brilinta,107893,266544,0.404785,FALSE,0.7,0,单产品起奖不通过,1,230000,0.1,0.571612,,,386519,,,
CVRM,CV_C(B+C),,KVWJ036,202001,Crestor,278626,199758,1.394818,,0.3,6600,,1,230000,0.1,0.428388,,1.824696,386519,1.680517,6071.538774,A4
CVRM,CV_C(B+C),,KKGZ617,202001,Brilinta,155277,248642,0.6245,FALSE,0.7,0,结构内起奖不通过0.592544<0.6,1,230000,0.1,0.590694,,,,,,
CVRM,CV_C(B+C),,KKGZ617,202001,Crestor,93280,172290,0.541413,FALSE,0.3,0,单产品起奖不通过,1,230000,0.1,0.409306,,,,,,
CVRM,CV_C(B+C),,KDBS376,202001,Brilinta,141896,150451,0.943138,,0.7,6600,,1,230000,0.1,0.548291,,0.886275,476375,2,8189.183455,A2
CVRM,CV_C(B+C),,KDBS376,202001,Crestor,334479,123949,2.698521,,0.3,6600,,1,230000,0.1,0.451709,,2,476375,2,7920,
CVRM,CV_C(B+C),,MR_C40650_V,202001,Brilinta,151206,168759,0.895988,,0.7,6600,,1,230000,0.1,0.836592,,0.791976,151206,0.7,2561.248893,A2
CVRM,CV_C(B+C),,MR_C40650_V,202001,Crestor,0,32963,0,FALSE,0.3,0,单产品起奖不通过,1,230000,0.1,0.163408,,,151206,,,
CVRM,CV_C(B+C),,KDDP288,202001,Brilinta,138524,133311,1.039104,,0.7,6600,,1,230000,0.1,0.774929,,1.09776,202584,0.8808,4467.110885,A3
CVRM,CV_C(B+C),,KDDP288,202001,Crestor,64060,38719,1.654485,,0.3,6600,,1,230000,0.1,0.225071,,2,202584,0.8808,3487.968,
CVRM,CV_C(B+C),,KTNT696,202001,Brilinta,100446,90893,1.105102,,0.7,6600,,1,230000,0.1,0.4846,,1.262754,285068,1.239426,7230.716993,A3
CVRM,CV_C(B+C),,KTNT696,202001,Crestor,184622,96670,1.909817,,0.3,6600,,1,230000,0.1,0.5154,,2,285068,1.239426,4908.127304,
CVRM,CV_C(B+C),,KJJK556,202001,Brilinta,32484,371404,0.087463,FALSE,0.7,0,单产品起奖不通过,1,230000,0.1,0.767158,,,292074,,,
CVRM,CV_C(B+C),,KJJK556,202001,Crestor,259590,112726,2.302841,,0.3,6600,,1,230000,0.1,0.232842,,2,292074,1.269887,5028.752348,
CVRM,CV_C(B+C),,KZFG391,202001,Brilinta,20428,301106,0.067843,FALSE,0.7,0,单产品起奖不通过,1,230000,0.1,0.758184,,,,,,
CVRM,CV_C(B+C),,KZFG391,202001,Crestor,123172,96035,1.282574,FALSE,0.3,0,结构内起奖不通过0.364733<0.6,1,230000,0.1,0.241816,,,,,,
CVRM,CV_C(B+C),,KQGW443,202001,Brilinta,107111,64191,1.66863,,0.7,6600,,1,230000,0.1,0.691482,,2,127391,0.7,6468,
CVRM,CV_C(B+C),,KQGW443,202001,Crestor,20280,28640,0.708101,,0.3,6600,,1,230000,0.1,0.308518,,0.55405,127391,0.7,767.913687,A1
CVRM,CV_C(B+C),,MR_C40817_V,202001,Brilinta,109084,161153,0.676897,FALSE,0.7,0,结构内起奖不通过0.356365<0.6,1,230000,0.1,0.526468,,,,,,
CVRM,CV_C(B+C),,MR_C40817_V,202001,Crestor,0,144949,0,FALSE,0.3,0,单产品起奖不通过,1,230000,0.1,0.473532,,,,,,
CVRM,CV_C(B+C),,KNFP954,202001,Brilinta,199310,178789,1.114778,,0.7,6600,,1,230000,0.1,0.882917,,1.286944,267010,1.160913,6902.421026,A3
CVRM,CV_C(B+C),,KNFP954,202001,Crestor,67700,23709,2.855456,,0.3,6600,,1,230000,0.1,0.117083,,2,267010,1.160913,4597.215652,
CVRM,CV_C(B+C),,KMHS535,202001,Brilinta,181201,211167,0.858093,,0.7,6600,,1,230000,0.1,0.915165,,0.716187,208597,0.906943,3000.87882,A2
