REPKCode,月份,奖金基数
MR_C40016_V,202301,3000
MR_C40016_V,202301,3000
MR_C40016_V,202301,3000
MR_C40043_V,202301,3000
MR_C40043_V,202301,3000
MR_C40043_V,202301,3000
KCWS709,202301,3000
KCWS709,202301,3000
KCWS709,202301,3000
KSNX308,202301,3000
KSNX308,202301,3000
KSNX308,202301,3000
KJGB657,202301,3000
KJGB657,202301,3000
KJGB657,202301,3000
KVXR420,202301,3000
KVXR420,202301,3000
KVXR420,202301,3000
KQFF447,202301,3000
KQFF447,202301,3000
KQFF447,202301,3000
KPMT492,202301,3000
KPMT492,202301,3000
KPMT492,202301,3000
KJWG203,202301,3000
KJWG203,202301,3000
KJWG203,202301,3000
MR_C40402_V,202301,3000
MR_C40402_V,202301,3000
MR_C40402_V,202301,3000
KHBH842,202301,3000
KHBH842,202301,3000
KHBH842,202301,3000
KQJD476,202301,3000
KQJD476,202301,3000
KQJD476,202301,3000
KGQK202,202301,3000
KGQK202,202301,3000
KGQK202,202301,3000
KSHR329,202301,3000
KSHR329,202301,3000
KSHR329,202301,3000
KVWJ036,202301,3000
KVWJ036,202301,3000
KVWJ036,202301,3000
KKGZ617,202301,3000
KKGZ617,202301,3000
KKGZ617,202301,3000
KDBS376,202301,3000
KDBS376,202301,3000
KDBS376,202301,3000
MR_C40650_V,202301,3000
MR_C40650_V,202301,3000
MR_C40650_V,202301,3000
KDDP288,202301,3000
KDDP288,202301,3000
KDDP288,202301,3000
KTNT696,202301,3000
KTNT696,202301,3000
KTNT696,202301,3000
KJJK556,202301,3000
KJJK556,202301,3000
KJJK556,202301,3000
KZFG391,202301,3000
KZFG391,202301,3000
KZFG391,202301,3000
KQGW443,202301,3000
KQGW443,202301,3000
KQGW443,202301,3000
MR_C40817_V,202301,3000
MR_C40817_V,202301,3000
MR_C40817_V,202301,3000
KNFP954,202301,3000
KNFP954,202301,3000
KNFP954,202301,3000
KMHS535,202301,3000
KMHS535,202301,3000
KMHS535,202301,3000
KQZH643,202301,3000
KQZH643,202301,3000
KQZH643,202301,3000
KGLF893,202301,3000
KGLF893,202301,3000
KGLF893,202301,3000
KFPW036,202301,3000
KFPW036,202301,3000
KFPW036,202301,3000
KDZX845,202301,3000
KDZX845,202301,3000
KDZX845,202301,3000
KXVC238,202301,3000
KXVC238,202301,3000
KXVC238,202301,3000
KCTV243,202301,3000
KCTV243,202301,3000
KCTV243,202301,3000
KVTQ246,202301,3000
KVTQ246,202301,3000
KVTQ246,202301,3000
KJQW880,202301,3000
KJQW880,202301,3000
KJQW880,202301,3000
