BU(CN),REPTagName,REPKCode,YM,REPBigTrtyFlg,FamilyNameE,Actual,Target,AT系数,AT起奖数据,津贴
CVRM,CV_C(B+C),MR_C40016_V,202001,C,Brilinta+ROXA,115052,179585,0.640655,0.6,1000
CVRM,CV_C(B+C),MR_C40043_V,202001,N,Brilinta+ROXA,0,2856,0,0.6,
CVRM,CV_C(B+C),KCWS709,202001,C,Brilinta+ROXA,246332,178259,1.381877,0.6,1000
CVRM,CV_C(B+C),KSNX308,202001,N,Brilinta+ROXA,149544,148958,1.003934,0.6,
CVRM,CV_C(B+C),KJGB657,202001,N,Brilinta+ROXA,136103,118316,1.150335,0.6,
CVRM,CV_C(B+C),KVXR420,202001,A,Brilinta+ROXA,308988,305586,1.011133,0.6,2500
CVRM,CV_C(B+C),KQFF447,202001,C,Brilinta+ROXA,190138,186914,1.017249,0.6,1000
CVRM,CV_C(B+C),KPMT492,202001,N,Brilinta+ROXA,198312,106945,1.854336,0.6,
CVRM,CV_C(B+C),KJWG203,202001,N,Brilinta+ROXA,108419,108464,0.999585,0.6,
CVRM,CV_C(B+C),MR_C40402_V,202001,N,Brilinta+ROXA,1011,136088,0.007429,0.6,
CVRM,CV_C(B+C),KHBH842,202001,C,Brilinta+ROXA,274995,202464,1.358241,0.6,1000
CVRM,CV_C(B+C),KQJD476,202001,N,Brilinta+ROXA,93465,84926,1.100546,0.6,
CVRM,CV_C(B+C),KGQK202,202001,N,Brilinta+ROXA,61479,90693,0.67788,0.6,
CVRM,CV_C(B+C),KSHR329,202001,N,Brilinta+ROXA,135420,117150,1.155954,0.6,
CVRM,CV_C(B+C),KVWJ036,202001,B,Brilinta+ROXA,107893,266544,0.404785,0.6,
CVRM,CV_C(B+C),KKGZ617,202001,B,Brilinta+ROXA,155277,248642,0.6245,0.6,1500
CVRM,CV_C(B+C),KDBS376,202001,N,Brilinta+ROXA,141896,150451,0.943138,0.6,
CVRM,CV_C(B+C),MR_C40650_V,202001,N,Brilinta+ROXA,151206,168759,0.895988,0.6,
CVRM,CV_C(B+C),KDDP288,202001,N,Brilinta+ROXA,138524,133311,1.039104,0.6,
CVRM,CV_C(B+C),KTNT696,202001,N,Brilinta+ROXA,104606,93273,1.121504,0.6,
CVRM,CV_C(B+C),KJJK556,202001,A,Brilinta+ROXA,32484,373671,0.086932,0.6,
CVRM,CV_C(B+C),KZFG391,202001,A,Brilinta+ROXA,20428,304534,0.06708,0.6,
CVRM,CV_C(B+C),KQGW443,202001,N,Brilinta+ROXA,107111,64191,1.66863,0.6,
CVRM,CV_C(B+C),MR_C40817_V,202001,N,Brilinta+ROXA,109084,161153,0.676897,0.6,
CVRM,CV_C(B+C),KNFP954,202001,C,Brilinta+ROXA,199310,178789,1.114778,0.6,1000
CVRM,CV_C(B+C),KMHS535,202001,B,Brilinta+ROXA,181201,211167,0.858093,0.6,1500
CVRM,CV_C(B+C),KQZH643,202001,N,Brilinta+ROXA,56153,98650,0.569214,0.6,
CVRM,CV_C(B+C),KGLF893,202001,N,Brilinta+ROXA,120602,159870,0.754375,0.6,
CVRM,CV_C(B+C),KFPW036,202001,C,Brilinta+ROXA,284347,176887,1.607506,0.6,1000
CVRM,CV_C(B+C),KDZX845,202001,N,Brilinta+ROXA,64138,152247,0.421276,0.6,
CVRM,CV_C(B+C),KXVC238,202001,N,Brilinta+ROXA,163613,142772,1.145974,0.6,
